metric_name,metric Stats
BackendConnectionErrors,None
DesyncMitigationMode_NonCompliant_Request_Count,None
HealthyHostCount,None
HTTPCode_Backend_2XX,None
HTTPCode_Backend_3XX,None
HTTPCode_Backend_4XX,None
HTTPCode_Backend_5XX,None
HTTPCode_ELB_4XX,None
HTTPCode_ELB_5XX,None
Latency,None
RequestCount,None
SpilloverCount,None
SurgeQueueLength,None
UnHealthyHostCount,None
EstimatedALBActiveConnectionCount,None
EstimatedALBConsumedLCUs,None
EstimatedALBNewConnectionCount,None
EstimatedProcessedBytes,None
