Metric Name,metric stats
BinLogDiskUsage,None
BurstBalance,None
CPUUtilization,None
CPUCreditUsage,None
CPUCreditBalance,None
DatabaseConnections,None
DiskQueueDepth,None
EBSByteBalance%,None
EBSIOBalance%,None
FailedSQLServerAgentJobsCount,None
FreeableMemory,None
FreeStorageSpace,None
MaximumUsedTransactionIDs,None
NetworkReceiveThroughput,None
NetworkTransmitThroughput,None
OldestReplicationSlotLag,None
ReadIOPS,None
ReadLatency,None
ReadThroughput,None
ReplicaLag,None
ReplicationSlotDiskUsage,None
SwapUsage,None
TransactionLogsDiskUsage,None
TransactionLogsGeneration,None
WriteIOPS,None
WriteLatency,None
WriteThroughput,None
