metric name,stats
BytesDropCountBlackhole,None
BytesDropCountNoRoute,None
BytesIn,None
BytesOut,None
PacketsIn,None
PacketsOut,None
PacketDropCountBlackhole,None
PacketDropCountNoRoute,None
BytesDropCountBlackhole,None
BytesDropCountNoRoute,None
BytesIn,None
BytesOut,None
PacketsIn,None
PacketsOut,None
PacketDropCountBlackhole,None
PacketDropCountNoRoute,None
