metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
aws.vpc_tunnel_state,guage,,,,"The state of the tunnels. For static VPNs, 0 indicates DOWN and 1 indicates UP. For BGP VPNs, 1 indicates ESTABLISHED and 0 is used for all other states. For both types of VPNs, values between 0 and 1 indicate at least one tunnel is not UP.",,vpc,
aws.vpc_tunnel_data_in,guage,,,,The bytes received on the AWS side of the connection through the VPN tunnel from a customer gateway. Each metric data point represents the number of bytes received after the previous data point. Use the Sum statistic to show the total number of bytes received during the period.,,vpc,
aws.vpc_tunnel_data_out,guage,,,,The bytes sent from the AWS side of the connection through the VPN tunnel to the customer gateway. Each metric data point represents the number of bytes sent after the previous data point. Use the Sum statistic to show the total number of bytes sent during the period.,,vpc,
